"PIN","Description","Type","Hidden"
"V0","Yellow Channel Current Temperature","sensor","false"
"V1","","","true"
"V2","Blue Channel Current Temperature","sensor","false"
"V3","","","true"
"V4","Yellow Channel Live Output Percentage","sensor","false"
"V5","","","true"
"V6","Blue Channel Live Output Percentage","sensor","false"
"V7","","","true"
"V8","","","true"
"V9","","","true"
"V10","","","true"
"V11","","","true"
"V12","","","true"
"V13","","","true"
"V14","","","true"
"V15","","","true"
"V16","Yellow Channel Name","input_text","false"
"V17","","","true"
"V18","Blue Channel Name","input_text","false"
"V19","","","true"
"V20","Season 1 Start Date DD/MM","input_text","false"
"V21","Season 2 Start Date DD/MM","input_text","false"
"V22","Season 3 Start Date DD/MM","input_text","false"
"V23","Season 4 Start Date DD/MM","input_text","false"
"V24","","","true"
"V25","","","true"
"V26","Thermostat Date","sensor","false"
"V27","Thermostat Time","sensor","false"
"V28","","","true"
"V29","Thermostat Name","input_text","false"
"V30","","","true"
"V31","Yellow Channel Name","input_text","false"
"V32","Yellow Channel Season 1 Daytime Start Time","packed_time_text","false"
"V33","Yellow Channel Season 1 Daytime Temp Setpoint","input_number","false"
"V34","Yellow Channel Season 1 Nighttime Start Time","packed_time_text","false"
"V35","Yellow Channel Season 1 Nighttime Temp Setpoint","input_number","false"
"V36","Yellow Channel Season 2 Daytime Start Time","packed_time_text","false"
"V37","Yellow Channel Season 2 Daytime Temp Setpoint","input_number","false"
"V38","Yellow Channel Season 2 Nighttime Start Time","packed_time_text","false"
"V39","Yellow Channel Season 2 Nighttime Temp Setpoint","input_number","false"
"V40","Yellow Channel Season 3 Daytime Start Time","packed_time_text","false"
"V41","Yellow Channel Season 3 Daytime Temp Setpoint","input_number","false"
"V42","Yellow Channel Season 3 Nighttime Start Time","packed_time_text","false"
"V43","Yellow Channel Season 3 Nighttime Temp Setpoint","input_number","false"
"V44","Yellow Channel Season 4 Daytime Start Time","packed_time_text","false"
"V45","Yellow Channel Season 4 Daytime Temp Setpoint","input_number","false"
"V46","Yellow Channel Season 4 Nighttime Start Time","packed_time_text","false"
"V47","Yellow Channel Season 4 Nighttime Temp Setpoint","input_number","false"
"V48","Yellow Channel Ramp Time (minutes)","input_number","false"
"V49","Yellow Channel Under Temperature Alarm","input_number","false"
"V50","Yellow Channel Over Temperature Alarm","input_number","false"
"V51","","","true"
"V52","Yellow Channel Mode Selector (0=Fixed 1=Heating 2=Cooling)","select","false"
"V53","Yellow Channel Timing Selector (0=Constant 1=Day/Night 2=Multi 3=Seasons)","select","false"
"V54","Yellow Channel Control Selector (0=Pulse 1=Dimming)","select","false"
"V55","","","true"
"V56","","","true"
"V57","","","true"
"V58","","","true"
"V59","","","true"
"V60","","","true"
"V61","","","true"
"V62","","","true"
"V63","","","true"
"V64","","","true"
"V65","","","true"
"V66","","","true"
"V67","","","true"
"V68","","","true"
"V69","","","true"
"V70","","","true"
"V71","","","true"
"V72","","","true"
"V73","","","true"
"V74","","","true"
"V75","","","true"
"V76","","","true"
"V77","","","true"
"V78","","","true"
"V79","","","true"
"V80","","","true"
"V81","","","true"
"V82","","","true"
"V83","","","true"
"V84","","","true"
"V85","","","true"
"V86","","","true"
"V87","","","true"
"V88","","","true"
"V89","","","true"
"V90","","","true"
"V91","Blue Channel Name","input_text","false"
"V92","Blue Channel Season 1 Daytime Start Time","packed_time_text","false"
"V93","","","true"
"V94","Blue Channel Season 1 Nighttime Start Time","packed_time_text","false"
"V95","","","true"
"V96","Blue Channel Season 2 Daytime Start Time","packed_time_text","false"
"V97","","","true"
"V98","Blue Channel Season 2 Nighttime Start Time","packed_time_text","false"
"V99","","","true"
"V100","Blue Channel Season 3 Daytime Start Time","packed_time_text","false"
"V101","","","true"
"V102","Blue Channel Season 3 Nighttime Start Time","packed_time_text","false"
"V103","","","true"
"V104","Blue Channel Season 4 Daytime Start Time","packed_time_text","false"
"V105","","","true"
"V106","Blue Channel Season 4 Nighttime Start Time","packed_time_text","false"
"V107","","","true"
"V108","Blue Channel Ramp Time (minutes)","input_number","false"
"V109","Blue Channel Under Temperature Alarm","input_number","false"
"V110","Blue Channel Over Temperature Alarm","input_number","false"
"V111","","","true"
"V112","","","true"
"V113","","","true"
"V114","","","true"
"V115","","","true"
"V116","","","true"
